id_avis,date,source,produit,texte,texte_clean,texte_final,sentiment,note,langue
AV0001,2026-02-27,mobile,Ordinateur NovaBook,"très bonne expérience, simple et efficace.","Très bonne expérience, simple et efficace.",très bon expérience simple efficace,positif,4,fr
AV0002,2026-01-09,web,SmartPhone X,très satisfait de mon achat 👍 avis,Très satisfait de mon achat 👍 avis,très satisfait achat 👍 avis,positif,4,fr
AV0003,2026-07-03,réseaux_sociaux,Écouteurs AirSound,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,4,fr
AV0004,2026-06-28,sav,SmartWatch Pro,"produit excellent, je suis très satisfait. !","Produit excellent, je suis très satisfait. !",produit excellent très satisfait !,positif,5,fr
AV0005,2026-01-24,sav,SmartPhone X,la batterie tient vraiment bien et l'écran est superbe.,LA BATTERIE TIENT VRAIMENT BIEN ET L'ÉCRAN EST SUPERBE.,batterie tenir vraiment bien écran superbe,positif,5,fr
AV0006,2026-07-26,web,Ordinateur NovaBook,très satisfait de mon achat 👍 😊,Très satisfait de mon achat 👍 😊,très satisfait achat 👍 😊,positif,5,fr
AV0007,2026-05-22,email,Ordinateur NovaBook,service client réactif et commande reçue rapidement.,SERVICE CLIENT RÉACTIF ET COMMANDE REÇUE RAPIDEMENT.,service client réactif commande reçu rapidement,positif,4,fr
AV0008,2026-06-30,web,SmartPhone X,très satisfait de mon achat 👍,Très satisfait de mon achat 👍,très satisfait achat 👍,positif,5,fr
AV0009,2026-08-10,web,Écouteurs AirSound,le produit correspond globalement à la description.,Le produit correspond globalement à la description.,produit correspondre globalement description,neutre,3,fr
AV0010,2026-04-01,mobile,Ordinateur NovaBook,livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0011,2026-05-17,mobile,SmartPhone Y,très satisfait de mon achat 👍 !,Très satisfait de mon achat 👍 !,très satisfait achat 👍 !,positif,4,fr
AV0013,2026-03-10,web,SmartPhone Y,la batterie tient vraiment bien et l'écran est superbe. avis,La batterie tient vraiment bien et l'écran est superbe. avis,batterie tenir vraiment bien écran superbe avis,positif,4,fr
AV0014,2026-06-17,sav,Écouteurs AirSound,"mauvaise expérience, je ne recommande pas.","Mauvaise expérience, je ne recommande pas.",mauvais expérience ne recommander pas,negatif,2,fr
AV0015,2026-03-09,mobile,SmartPhone Y,qualité décevante pour ce prix. !,Qualité décevante pour ce prix. !,qualité décevant prix !,negatif,2,fr
AV0016,2026-08-18,réseaux_sociaux,Écouteurs AirSound,produit correct pour son prix. avis,Produit correct pour son prix. avis,produit correct prix avis,neutre,4,fr
AV0017,2026-01-24,web,SmartPhone X,"produit parfait, rien à signaler.","Produit parfait, rien à signaler.",produit parfait rien signaler,positif,5,fr
AV0019,2026-08-09,web,Ordinateur NovaBook,le produit ne fonctionne déjà plus.,Le produit ne fonctionne déjà plus.,produit ne fonctionner déjà plus,negatif,2,fr
AV0020,2026-07-16,email,SmartPhone X,"je viens de recevoir le produit, à voir dans le temps. 😊","Je viens de recevoir le produit, à voir dans le temps. 😊",venir recevoir produit voir temps 😊,neutre,4,fr
AV0021,2026-07-04,email,Tablette TabPlus,excellent rapport qualité-prix.,Excellent rapport qualité-prix.,excellent rapport qualité-prix,positif,5,fr
AV0022,2026-08-04,réseaux_sociaux,Tablette TabPlus,le produit correspond globalement à la description. 😊,Le produit correspond globalement à la description. 😊,produit correspondre globalement description 😊,neutre,4,fr
AV0023,2026-07-19,réseaux_sociaux,SmartPhone X,livraison rapide et produit conforme à mes attentes.,Livraison rapide et produit conforme à mes attentes.,livraison rapide produit conforme attente,positif,5,fr
AV0024,2026-08-26,email,SmartWatch Pro,"produit excellent, je suis très satisfait.","PRODUIT EXCELLENT, JE SUIS TRÈS SATISFAIT.",produit excellent très satisfait,positif,5,fr
